CityName,CityCode,测体温,健康码,健康告知书,健康问询,健康提醒,报告/报备,提前报备时间,进入前核酸检测,进入前核酸检测时间,进入后核酸检测,进入后核酸检测次数,进入后核酸检测时间,血清学检测(血清抗体),居家隔离,居家隔离时间,社区健康监测,社区健康监测时间,集中隔离,集中隔离时间,特殊措施,,,,,,,,,,,,,,,,,,,,,,
南充,511300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
盘锦,211100,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,
遂宁,510900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,
鞍山,210300,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
辽阳,211000,0,0,0,0,0,1,1,1,7,0,0,0,0,1,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
铁岭,211200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
玉树,632700,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
海北,632200,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
甘孜,513300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
潍坊,370700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
许昌,411000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
葫芦岛,211400,0,0,0,0,0,0,0,1,7,1,1,1,0,1,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
广州,440100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
丹东,210600,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
本溪,210500,0,0,0,0,0,0,0,1,3,0,0,0,0,1,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
成都,510100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
绵阳,510700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
泸州,510500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
达州,511700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
马鞍山,340500,0,1,0,0,0,1,7,0,0,1,1,1,0,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
银川,640100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
邯郸,130400,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
清远,441800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
梅州,441400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
阳江,441700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
湛江,440800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
汕尾,441500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
江门,440700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
沈阳,210100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
抚顺,210400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
宝鸡,610300,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
普洱,530800,0,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
